condition,display,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,severity,red_flags,description
common_cold,Common Cold,runny nose,sneezing,sore throat,congestion,cough,mild fever,watery eyes,fatigue,,,,,,,,,,,low,,A viral infection of the upper respiratory tract. Usually mild and resolves in 7–10 days.
influenza,Influenza (Flu),fever,body aches,fatigue,chills,headache,sudden onset,dry cough,loss of appetite,sweating,,,,,,,,,medium,difficulty breathing|chest pain|confusion|severe vomiting,A contagious respiratory illness caused by influenza viruses. More severe than a cold.
migraine,Migraine,headache,throbbing pain,nausea,sensitivity to light,one-sided pain,sensitivity to sound,visual aura,worse with movement,vomiting,,,,,,,,,medium,sudden worst headache of life|headache with stiff neck|headache after injury,A neurological condition causing intense throbbing head pain often on one side.
tension_headache,Tension Headache,headache,pressure around forehead,neck stiffness,both sides of head,dull aching,stress,no nausea,,,,,,,,,,,low,sudden severe headache|fever with headache,The most common headache type — dull aching pressure around the forehead or back of the head.
food_poisoning,Food Poisoning,nausea,vomiting,diarrhoea,stomach cramps,recent suspect meal,fever,multiple people affected,,,,,,,,,,,medium,blood in stool|signs of dehydration|high fever|neurological symptoms,Illness caused by eating contaminated food. Usually resolves within 1–3 days.
gastroenteritis,Gastroenteritis,vomiting,diarrhoea,stomach pain,nausea,watery stool,low-grade fever,muscle aches,loss of appetite,,,,,,,,,medium,blood in vomit or stool|severe dehydration|high fever|symptoms over 3 days,Inflammation of the stomach and intestines usually from a viral or bacterial infection.
acid_reflux,Acid Reflux (GERD),heartburn,chest burning,sour taste,regurgitation,worse after eating,worse lying down,burping,throat discomfort,,,,,,,,,low,chest pain radiating to arm|difficulty swallowing|weight loss,Stomach acid flows back into the oesophagus causing a burning sensation.
uti,Urinary Tract Infection,burning urination,frequent urination,pelvic pain,cloudy urine,strong urge to urinate,dark urine,lower back pain,fever,,,,,,,,,medium,high fever with chills|back pain|nausea with UTI symptoms,A bacterial infection in the urinary system. Very common especially in women.
allergic_rhinitis,Allergic Rhinitis,sneezing,runny nose,itchy eyes,watery eyes,congestion,seasonal pattern,itchy throat,worse outdoors,no fever,,,,,,,,,low,,An allergic reaction causing sneezing itchy eyes and a runny nose.
strep_throat,Strep Throat,sore throat,difficulty swallowing,throat pain,swollen glands,sudden onset,fever,white patches on tonsils,no cough,,,,,,,,,medium,difficulty breathing|drooling|muffled voice|rash,A bacterial throat infection causing severe sore throat and difficulty swallowing.
dehydration,Dehydration,thirst,dry mouth,fatigue,dark urine,dizziness,headache,reduced urination,dry skin,,,,,,,,,medium,extreme confusion|rapid heartbeat|no urination for hours|fainting,Occurs when the body loses more fluids than it takes in.
conjunctivitis,Conjunctivitis,red eyes,eye discharge,itchy eyes,watery eyes,crusty eyelids,both eyes affected,burning sensation,,,,,,,,,,,low,vision changes|severe eye pain|sensitivity to light with eye pain,Inflammation of the eye's outer membrane causing redness and discharge.
