condition,title,content
common_cold,Common Cold,"The common cold is a viral upper respiratory tract infection caused by rhinoviruses and other viruses. Symptoms include runny nose, sneezing, sore throat, nasal congestion, and mild cough. Fever is uncommon in adults but may appear in children. Symptoms typically peak at 2-3 days and resolve within 7-10 days. Treatment is symptomatic: rest, hydration, saline nasal spray, and paracetamol for discomfort. Antibiotics are not effective against viral infections. Wash hands frequently to prevent spread."
influenza,Influenza (Flu),"Influenza is a contagious respiratory illness caused by influenza A or B viruses. Symptoms include sudden onset of high fever, severe body aches, fatigue, chills, headache, and dry cough. Unlike a cold, flu symptoms come on abruptly and are more severe. Complications include pneumonia, especially in elderly and immunocompromised patients. Treatment includes rest, fluids, and antivirals like oseltamivir if started within 48 hours. Annual vaccination is the best prevention. Seek emergency care for difficulty breathing, persistent chest pain, confusion, or severe vomiting."
migraine,Migraine,"Migraine is a neurological condition characterised by recurrent moderate to severe headaches, often with throbbing or pulsating quality, usually on one side of the head. Associated symptoms include nausea, vomiting, sensitivity to light (photophobia) and sound (phonophobia). Some patients experience aura: visual disturbances, tingling, or speech difficulties before the headache. Triggers include stress, hormonal changes, certain foods, and sleep disruption. Acute treatment: triptans, NSAIDs, antiemetics. Resting in a dark quiet room helps. Red flags: sudden worst headache of life, headache with stiff neck or fever — seek emergency care."
tension_headache,Tension Headache,"Tension headaches are the most common headache disorder, characterised by bilateral pressing or tightening head pain of mild to moderate intensity. Unlike migraine, there is no pulsating quality and no nausea or vomiting. Pain is often described as a band around the head. Triggers include stress, poor posture, eye strain, and dehydration. Treatment: paracetamol or ibuprofen, stress reduction, regular sleep, and hydration. Frequent use of pain relief can lead to medication overuse headache."
food_poisoning,Food Poisoning,"Food poisoning results from consuming contaminated food containing bacteria, viruses, or toxins. Common causes: Salmonella, E. coli, Campylobacter, Norovirus. Symptoms: nausea, vomiting, diarrhoea, stomach cramps, fever, starting within hours to days of eating. Most cases resolve in 1-3 days with supportive care: oral rehydration, rest, bland diet (BRAT). Seek medical care if: high fever above 38.5°C, blood in stool, signs of dehydration, symptoms beyond 3 days, or multiple people affected after the same meal. High-risk groups include pregnant women, elderly, and infants."
gastroenteritis,Gastroenteritis (Stomach Bug),"Gastroenteritis is inflammation of the stomach and intestines, usually caused by viral or bacterial infection. Norovirus is the most common cause. Symptoms: nausea, vomiting, watery diarrhoea, stomach cramps, low-grade fever, muscle aches. Highly contagious — spread by fecal-oral route. Treatment is supportive: oral rehydration salts, clear fluids, rest. Avoid dairy and fatty foods initially. Dehydration is the main risk especially in children and elderly. Red flags: blood in stool or vomit, high fever, symptoms beyond 3 days, signs of severe dehydration."
acid_reflux,Acid Reflux and GERD,"Gastroesophageal reflux disease (GERD) occurs when stomach acid repeatedly flows back into the oesophagus. Symptoms: heartburn (burning sensation in chest), regurgitation of sour or bitter liquid, difficulty swallowing, chronic cough, hoarseness, sensation of lump in throat. Symptoms worsen after large meals, fatty or spicy food, lying down, and with obesity. Lifestyle treatment: avoid trigger foods, eat smaller meals, elevate head of bed, lose weight if applicable. Antacids and proton pump inhibitors are effective. Red flags: chest pain radiating to jaw or arm, difficulty swallowing, unexplained weight loss — require urgent evaluation."
uti,Urinary Tract Infection (UTI),"UTIs are bacterial infections of the urinary system, most commonly affecting the bladder (cystitis). More common in women. Symptoms: burning or pain during urination, frequent urge to urinate, cloudy or strong-smelling urine, pelvic pressure, lower abdominal discomfort. If infection spreads to kidneys (pyelonephritis): fever, chills, back or flank pain, nausea. Treatment requires antibiotics — see a doctor. Drink plenty of water. Red flags: high fever with back pain and chills suggests kidney involvement — seek prompt medical care. Cranberry products may help prevent recurrence but do not treat active infection."
allergic_rhinitis,Allergic Rhinitis (Hay Fever),"Allergic rhinitis is an IgE-mediated allergic reaction to airborne allergens (pollen, dust mites, pet dander). Symptoms: sneezing, runny nose with clear discharge, nasal congestion, itchy watery eyes, itchy throat. Seasonal allergic rhinitis peaks during pollen season. Perennial form is year-round. Unlike a cold, allergic rhinitis has no fever and symptoms persist as long as allergen exposure continues. Treatment: antihistamines (cetirizine, loratadine), intranasal corticosteroids, allergen avoidance. Saline nasal irrigation reduces symptoms. Immunotherapy for persistent cases."
strep_throat,Strep Throat,"Strep throat is a bacterial infection of the pharynx caused by Group A Streptococcus. Symptoms: sudden severe sore throat, pain on swallowing, fever, swollen tender lymph nodes in neck, red swollen tonsils sometimes with white patches or streaks of pus. Notably absent: cough, runny nose, hoarseness — these suggest viral rather than bacterial infection. Diagnosis confirmed by rapid strep test or throat culture. Treatment: penicillin or amoxicillin. Untreated strep can lead to rheumatic fever. Red flags: difficulty breathing, drooling, muffled voice, stiff neck, or rash (scarlet fever) — require urgent evaluation."
dehydration,Dehydration,"Dehydration occurs when fluid loss exceeds fluid intake. Causes: vomiting, diarrhoea, excessive sweating, fever, insufficient intake. Symptoms: thirst, dry mouth, decreased urine output, dark concentrated urine, fatigue, headache, dizziness, dry skin. Mild to moderate: increased fluid intake, oral rehydration salts. Severe dehydration signs: rapid heartbeat, rapid breathing, confusion, sunken eyes, no urination for hours. Severe dehydration is a medical emergency requiring IV fluids. Prevention: drink water consistently, increase intake during exercise and hot weather or illness."
conjunctivitis,Conjunctivitis (Pink Eye),"Conjunctivitis is inflammation of the conjunctiva, causing redness, discharge, and irritation. Types: viral (most common, watery discharge), bacterial (thick yellow/green discharge), allergic (itchy, bilateral, associated with other allergy symptoms). Viral conjunctivitis is highly contagious. Treatment is supportive: warm compresses, artificial tears. Bacterial conjunctivitis responds to antibiotic eye drops. Allergic type: antihistamine drops. Red flags requiring urgent ophthalmology review: vision changes, severe pain, photophobia, corneal involvement, or symptoms in a contact lens wearer."
muscle_strain,Muscle Strain,"Muscle strains occur when muscle fibres are overstretched or torn, commonly from sudden movements, overexertion, or inadequate warm-up. Symptoms: localised pain, tenderness, swelling, bruising, limited range of motion, muscle spasm. Grades: mild (grade 1), moderate (grade 2), complete tear (grade 3). RICE protocol: Rest, Ice (20 min every 2-3 hrs), Compression, Elevation. NSAIDs reduce pain and inflammation. Gentle range of motion after 48 hours. Red flags: severe swelling, numbness, inability to bear weight, palpable defect in muscle — may indicate grade 3 tear or fracture requiring imaging."
back_pain,Lower Back Pain,"Lower back pain is one of the most common musculoskeletal complaints, affecting up to 80% of adults. Acute non-specific back pain is usually mechanical: muscle strain, poor posture, overuse. Symptoms: aching or stiffness in the lower back, worse with movement, improved with rest. Treatment: stay active (avoid bed rest), heat or cold packs, NSAIDs, physiotherapy for persistent cases. Red flags (cauda equina syndrome): bilateral leg weakness, numbness in saddle area, loss of bladder or bowel control — requires emergency assessment. Other red flags: fever with back pain, history of cancer, pain worse at night, unexplained weight loss."
anxiety,Anxiety and Stress Response,"Physical symptoms of anxiety result from activation of the sympathetic nervous system (fight-or-flight). Symptoms: rapid heartbeat, chest tightness, shortness of breath, dizziness, sweating, trembling, dry mouth, tingling in hands and feet, feeling of unreality. These symptoms can mimic cardiac or respiratory conditions and are distressing but not dangerous. Management: diaphragmatic breathing, grounding techniques (5-4-3-2-1), regular exercise, reduce caffeine. Persistent anxiety disorder benefits from CBT and sometimes medication. Red flag: if chest pain is crushing, radiates to jaw or left arm, or occurs with sweating and exertion in an older patient — must rule out cardiac cause immediately."
diabetes,Diabetes,"Diabetes is a metabolic disorder characterised by high blood glucose due to insufficient insulin production (Type 1) or insulin resistance (Type 2). Common symptoms: excessive thirst, frequent urination, unexplained weight loss, fatigue, blurred vision, slow-healing wounds, and tingling in extremities. Type 2 can be managed with lifestyle changes, oral medications, and insulin if needed. Complications include neuropathy, retinopathy, nephropathy, and cardiovascular disease. Red flags: diabetic ketoacidosis (DKA) — excessive thirst, frequent urination, nausea, vomiting, abdominal pain, confusion — requires emergency care. Monitor blood glucose regularly."
hypertension,Hypertension,"Hypertension (high blood pressure) is a chronic condition where the force of blood against artery walls is consistently too high. Often called the silent killer as most people have no symptoms. When present: headache, dizziness, blurred vision, chest pain, or shortness of breath. Lifestyle management: reduce salt intake, exercise regularly, maintain healthy weight, limit alcohol, stop smoking. Medications include ACE inhibitors, beta blockers, calcium channel blockers. Red flags: hypertensive crisis — blood pressure above 180/120 with chest pain, vision loss, or neurological symptoms requires emergency care."
asthma,Asthma,"Asthma is a chronic inflammatory airway disease causing episodes of wheezing, breathlessness, chest tightness, and coughing. Triggers include allergens, exercise, cold air, respiratory infections, and stress. Classified as intermittent or persistent. Treatment uses step-up approach: short-acting bronchodilators (reliever) and inhaled corticosteroids (preventer). Avoid known triggers, get flu vaccine annually. Action plan for attacks: use rescue inhaler, seek emergency care if no improvement. Red flags: severe breathlessness, cyanosis (blue lips), or no response to reliever inhaler — call emergency services immediately."
pneumonia,Pneumonia,"Pneumonia is an infection that inflames air sacs in one or both lungs which may fill with fluid or pus. Caused by bacteria (Streptococcus pneumoniae most common), viruses, or fungi. Symptoms: cough with phlegm or pus, fever, chills, and difficulty breathing. Severity ranges from mild to life-threatening. High risk groups: elderly, infants, people with weakened immune systems. Bacterial pneumonia treated with antibiotics. Viral pneumonia supportive care. Prevention: pneumococcal vaccine, influenza vaccine, good hygiene. Red flags: confusion, persistent chest pain, very high fever, respiratory rate over 30/min — hospitalisation required."
sinusitis,Sinusitis,"Sinusitis is inflammation of the sinuses often following a cold or allergic rhinitis. Symptoms: facial pain or pressure (worse when bending forward), nasal congestion, thick nasal discharge, reduced sense of smell, headache, cough, and fatigue. Acute sinusitis usually resolves within 4 weeks. Chronic sinusitis persists beyond 12 weeks. Most cases are viral — antibiotics not usually needed. Treatment: saline nasal irrigation, nasal corticosteroid sprays, decongestants, pain relief. See a doctor if symptoms persist beyond 10 days or worsen. Red flags: vision changes, swelling around eyes, severe headache, stiff neck — may indicate serious complication."
bronchitis,Bronchitis,"Bronchitis is inflammation of the bronchial tubes causing cough with mucus, fatigue, slight fever, and chest discomfort. Acute bronchitis is usually caused by viruses and resolves in 7-10 days. Chronic bronchitis (part of COPD) is caused by long-term irritants especially smoking. Treatment for acute bronchitis: rest, fluids, humidity, and cough suppressants. Antibiotics typically not needed unless bacterial infection suspected. Avoid smoking and irritants. Red flags: high fever above 38.5°C, coughing blood, severe breathlessness, or symptoms lasting more than 3 weeks — require medical evaluation."
dengue,Dengue Fever,"Dengue fever is a mosquito-borne viral disease common in tropical and subtropical climates. Caused by dengue virus transmitted by Aedes aegypti mosquitoes. Symptoms: sudden high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, nausea, and vomiting. No specific antiviral treatment — supportive care with rest and fluids. Avoid aspirin and ibuprofen (increase bleeding risk). Red flags of severe dengue: severe abdominal pain, persistent vomiting, rapid breathing, bleeding gums, blood in vomit — requires immediate hospitalisation. Prevention: mosquito control and repellents."
malaria,Malaria,"Malaria is a life-threatening disease caused by Plasmodium parasites transmitted through the bite of infected female Anopheles mosquitoes. Symptoms appear 10-15 days after bite: fever, chills, sweating (cyclical pattern), headache, nausea, vomiting, and muscle pain. Diagnosis by blood smear or rapid antigen test. Treatment: antimalarial drugs — choice depends on species and region. Cerebral malaria is a severe complication causing confusion, seizures, and loss of consciousness. Prevention: antimalarial prophylaxis, insecticide-treated bed nets, repellents, and indoor spraying. Prompt treatment is essential to prevent complications."
chickenpox,Chickenpox,"Chickenpox (varicella) is a highly contagious viral infection caused by the varicella-zoster virus. Characterised by an itchy rash developing in stages: red spots, fluid-filled blisters, then crusted scabs. Also causes fever, tiredness, and loss of appetite. Contagious from 1-2 days before rash appears until all blisters have crusted. Treatment: antihistamines for itching, paracetamol for fever (not aspirin). Antiviral medication (acyclovir) for high-risk patients. Vaccine provides effective prevention. Complications: bacterial skin infections, pneumonia, encephalitis — especially concerning in adults, newborns, and immunocompromised."
measles,Measles,"Measles is a highly contagious viral disease caused by the measles virus. Spreads through respiratory droplets. Symptoms start with high fever, cough, runny nose, and red eyes, followed by a characteristic red rash spreading from face downwards. Koplik's spots (tiny white spots inside cheeks) are a distinctive sign. No specific antiviral treatment — supportive care with rest, fluids, and fever management. Vitamin A supplementation recommended. Complications include otitis media, pneumonia, and encephalitis (1 in 1000 cases). MMR vaccine provides highly effective protection. Red flags: difficulty breathing, seizures, confusion — seek emergency care."
typhoid,Typhoid Fever,"Typhoid fever is a systemic bacterial infection caused by Salmonella typhi, spread through contaminated food or water. Symptoms develop gradually: sustained fever (rising stepwise), headache, weakness, stomach pain, and sometimes a rose-coloured rash. Diarrhoea or constipation may occur. Diagnosis by blood or stool culture. Treatment: antibiotics (ciprofloxacin or azithromycin). Without treatment, can cause life-threatening complications including intestinal perforation and haemorrhage. Prevention: typhoid vaccine, safe food and water practices, hand hygiene. Common in areas with poor sanitation."
jaundice,Jaundice,"Jaundice is the yellow discolouration of skin and whites of eyes caused by elevated bilirubin in the blood. In adults, commonly caused by liver disease (hepatitis, cirrhosis), bile duct obstruction (gallstones), or haemolysis. Symptoms: yellow skin and eyes, dark urine, pale stools, fatigue, itching, and abdominal pain. Newborn jaundice is common and usually resolves without treatment. Treatment depends on the underlying cause: antiviral medications for hepatitis, surgery for bile duct obstruction. Red flags: severe abdominal pain, confusion, blood in stool — require urgent evaluation. Alcohol avoidance is important in liver-related cases."
arthritis,Arthritis,"Arthritis refers to inflammation of one or more joints causing pain, stiffness, and swelling. Most common forms: osteoarthritis (wear and tear) and rheumatoid arthritis (autoimmune). Osteoarthritis affects large joints — hips, knees, hands — worsening with age. Rheumatoid arthritis is symmetrical, affects small joints first, and causes morning stiffness lasting more than an hour. Treatment: NSAIDs for pain, disease-modifying drugs (DMARDs) for rheumatoid arthritis, physiotherapy, and joint replacement in severe cases. Weight management reduces stress on joints in osteoarthritis. Exercise is beneficial — maintain range of motion and muscle strength."
gastritis,Gastritis,"Gastritis is inflammation of the stomach lining, commonly caused by H. pylori infection, NSAIDs, excessive alcohol, or stress. Symptoms: burning or gnawing pain in the upper abdomen (often better or worse with eating), nausea, vomiting, loss of appetite, bloating, and belching. H. pylori gastritis treated with antibiotics and proton pump inhibitors (triple therapy). Avoid NSAIDs, alcohol, and spicy foods. Antacids and PPIs reduce stomach acid and relieve symptoms. Red flags: vomiting blood (haematemesis), black tarry stools (melaena), severe sudden pain — indicate bleeding and require emergency care."
anemia,Anemia,"Anemia occurs when the body doesn't have enough healthy red blood cells to carry adequate oxygen. Most common type: iron-deficiency anemia, often due to dietary insufficiency or blood loss. Symptoms: fatigue, weakness, pale or yellowish skin, irregular heartbeat, shortness of breath, dizziness, cold hands and feet, and headaches. Treatment depends on cause: iron supplements for iron deficiency, B12 injections for pernicious anemia, treating underlying conditions. Eat iron-rich foods: red meat, leafy greens, legumes. Take vitamin C to enhance iron absorption. Severe anemia may require blood transfusion. Regular blood tests monitor haemoglobin levels."
hypothyroidism,Hypothyroidism,"Hypothyroidism occurs when the thyroid gland produces insufficient thyroid hormone, slowing metabolism. The most common cause is Hashimoto's thyroiditis (autoimmune). Symptoms develop gradually: fatigue, weight gain, cold intolerance, dry skin, hair loss, constipation, depression, slow heart rate, and cognitive slowing. Diagnosis by TSH blood test. Treatment: daily levothyroxine (synthetic T4) — doses adjusted based on TSH levels. Medication needed lifelong in most cases. Regular monitoring every 6-12 months. Untreated hypothyroidism can lead to myxoedema coma in severe cases."
hyperthyroidism,Hyperthyroidism,"Hyperthyroidism is overproduction of thyroid hormone, most commonly from Graves' disease (autoimmune) or toxic nodular goitre. Symptoms: unexplained weight loss despite increased appetite, rapid or irregular heartbeat, trembling hands, excessive sweating, heat intolerance, anxiety, and frequent bowel movements. Diagnosis: TSH low, T4/T3 elevated. Treatment options: antithyroid medications (carbimazole, methimazole), radioactive iodine therapy, or surgery. Eye disease (Graves' ophthalmopathy) can occur. Red flags: thyroid storm — high fever, extreme tachycardia, confusion — a life-threatening emergency requiring immediate hospital care."
eczema,Eczema,"Eczema (atopic dermatitis) is a chronic inflammatory skin condition causing dry, itchy, and inflamed skin. Often begins in childhood and may persist into adulthood. Triggers include soaps, detergents, synthetic fabrics, stress, sweat, and allergens. Symptoms: dry skin, intense itching (worse at night), red to brownish-grey patches, small raised bumps, and thickened cracked skin. Treatment: moisturise regularly with emollients, avoid triggers, use topical corticosteroids during flare-ups. Antihistamines can help with itching. Severe cases may require immunosuppressants or biologics. Scratching worsens the condition and risks secondary infection."
psoriasis,Psoriasis,"Psoriasis is a chronic autoimmune skin disease causing cells to build up rapidly and form scales and red patches that can be itchy and sometimes painful. Affects skin, scalp, and sometimes nails and joints (psoriatic arthritis). Triggers: stress, infections, certain medications, and smoking. Symptoms: red patches covered with thick silvery scales, dry cracked skin, itching, burning, or soreness, thickened pitted nails, and joint swelling. Treatment: topical treatments (corticosteroids, vitamin D analogues), phototherapy, systemic medications (methotrexate, biologics). No cure but effective management possible. Alcohol and smoking worsen psoriasis."
